feature,coefficient,absolute_coefficient,direction
trip_distance,3.7775254280796324,3.7775254280796324,Higher long-trip risk
DOLocationID_243,-2.6812022264580615,2.6812022264580615,Lower long-trip risk
DOLocationID_14,-2.3810171541694127,2.3810171541694127,Lower long-trip risk
PULocationID_70,-2.3498918803977507,2.3498918803977507,Lower long-trip risk
RatecodeID_2,-1.9284456655332998,1.9284456655332998,Lower long-trip risk
DOLocationID_188,1.8497129219193038,1.8497129219193038,Higher long-trip risk
DOLocationID_244,-1.534378239496902,1.534378239496902,Lower long-trip risk
PULocationID_74,-1.4423618705333066,1.4423618705333066,Lower long-trip risk
DOLocationID_1,-1.4308867797539673,1.4308867797539673,Lower long-trip risk
DOLocationID_168,-1.2889498439661367,1.2889498439661367,Lower long-trip risk
PULocationID_152,-1.2128278695047494,1.2128278695047494,Lower long-trip risk
DOLocationID_225,1.2123433543677034,1.2123433543677034,Higher long-trip risk
PULocationID_132,-1.1941099997129028,1.1941099997129028,Lower long-trip risk
DOLocationID_152,-1.1737476008739092,1.1737476008739092,Lower long-trip risk
PULocationID_87,-1.1680712140618317,1.1680712140618317,Lower long-trip risk
DOLocationID_13,-1.1391783144081296,1.1391783144081296,Lower long-trip risk
DOLocationID_89,-1.1341185456008256,1.1341185456008256,Lower long-trip risk
DOLocationID_61,1.1312177277146085,1.1312177277146085,Higher long-trip risk
DOLocationID_74,-1.1200561011004944,1.1200561011004944,Lower long-trip risk
PULocationID_224,1.117193704784642,1.117193704784642,Higher long-trip risk
RatecodeID_1,1.0937215247709369,1.0937215247709369,Higher long-trip risk
RatecodeID_3,-1.067429392876404,1.067429392876404,Lower long-trip risk
PULocationID_186,1.0663634292157618,1.0663634292157618,Higher long-trip risk
DOLocationID_49,1.048868151217584,1.048868151217584,Higher long-trip risk
DOLocationID_146,1.0160832911270086,1.0160832911270086,Higher long-trip risk
DOLocationID_130,1.0061393553023847,1.0061393553023847,Higher long-trip risk
DOLocationID_88,-0.9902569349351558,0.9902569349351558,Lower long-trip risk
DOLocationID_230,0.9849071931201964,0.9849071931201964,Higher long-trip risk
DOLocationID_42,-0.9587902717970469,0.9587902717970469,Lower long-trip risk
DOLocationID_116,-0.9400536758244368,0.9400536758244368,Lower long-trip risk
PULocationID_45,0.9265397299591496,0.9265397299591496,Higher long-trip risk
DOLocationID_100,0.9119008179945706,0.9119008179945706,Higher long-trip risk
PULocationID_68,0.8990248314683675,0.8990248314683675,Higher long-trip risk
DOLocationID_198,0.8913516496474022,0.8913516496474022,Higher long-trip risk
RatecodeID_5,0.8842509646494429,0.8842509646494429,Higher long-trip risk
PULocationID_262,-0.8780222326210474,0.8780222326210474,Lower long-trip risk
VendorID_2,-0.866199915205816,0.866199915205816,Lower long-trip risk
DOLocationID_216,0.8639415733932343,0.8639415733932343,Higher long-trip risk
DOLocationID_17,0.8624896319246342,0.8624896319246342,Higher long-trip risk
DOLocationID_255,0.8591375902749198,0.8591375902749198,Higher long-trip risk
DOLocationID_40,-0.8492939565654948,0.8492939565654948,Lower long-trip risk
PULocationID_209,-0.8173501202180148,0.8173501202180148,Lower long-trip risk
DOLocationID_4,-0.7889380890695193,0.7889380890695193,Lower long-trip risk
PULocationID_233,-0.7838587028168429,0.7838587028168429,Lower long-trip risk
DOLocationID_36,0.757137664272567,0.757137664272567,Higher long-trip risk
PULocationID_13,-0.7542881517903546,0.7542881517903546,Lower long-trip risk
DOLocationID_265,-0.7542305075946869,0.7542305075946869,Lower long-trip risk
DOLocationID_202,0.7486757936999658,0.7486757936999658,Higher long-trip risk
PULocationID_88,-0.7427943798741591,0.7427943798741591,Lower long-trip risk
PULocationID_211,0.714047135660243,0.714047135660243,Higher long-trip risk
VendorID_1,-0.7132679353033685,0.7132679353033685,Lower long-trip risk
DOLocationID_87,-0.7096412495370797,0.7096412495370797,Lower long-trip risk
airport_trip,-0.7046363578446313,0.7046363578446313,Lower long-trip risk
DOLocationID_52,-0.697472197135089,0.697472197135089,Lower long-trip risk
DOLocationID_37,0.6956297232580884,0.6956297232580884,Higher long-trip risk
DOLocationID_189,0.6859204591193456,0.6859204591193456,Higher long-trip risk
DOLocationID_224,-0.6773980313009925,0.6773980313009925,Lower long-trip risk
DOLocationID_179,0.6734410132594093,0.6734410132594093,Higher long-trip risk
DOLocationID_163,0.6648028417090263,0.6648028417090263,Higher long-trip risk
PULocationID_113,0.6629495863287492,0.6629495863287492,Higher long-trip risk
DOLocationID_209,-0.6308780724270947,0.6308780724270947,Lower long-trip risk
DOLocationID_33,-0.6288516463997177,0.6288516463997177,Lower long-trip risk
PULocationID_246,0.6070066513756661,0.6070066513756661,Higher long-trip risk
PULocationID_231,0.5996185293489729,0.5996185293489729,Higher long-trip risk
DOLocationID_infrequent_sklearn,-0.5905944595578877,0.5905944595578877,Lower long-trip risk
DOLocationID_264,0.5699924854346045,0.5699924854346045,Higher long-trip risk
PULocationID_125,0.5697880038858423,0.5697880038858423,Higher long-trip risk
DOLocationID_43,0.5696063204442592,0.5696063204442592,Higher long-trip risk
RatecodeID_4,-0.5615652815193989,0.5615652815193989,Lower long-trip risk
DOLocationID_144,0.5586018382223839,0.5586018382223839,Higher long-trip risk
DOLocationID_186,0.49715495890471545,0.49715495890471545,Higher long-trip risk
PULocationID_264,-0.49220787643888947,0.49220787643888947,Lower long-trip risk
PULocationID_170,0.47957463579936055,0.47957463579936055,Higher long-trip risk
DOLocationID_113,0.44913983393920304,0.44913983393920304,Higher long-trip risk
PULocationID_263,-0.44786771764283806,0.44786771764283806,Lower long-trip risk
PULocationID_151,-0.44645039017494476,0.44645039017494476,Lower long-trip risk
PULocationID_100,0.443890192020213,0.443890192020213,Higher long-trip risk
DOLocationID_97,0.4363594032741537,0.4363594032741537,Higher long-trip risk
DOLocationID_138,-0.42985421352502484,0.42985421352502484,Lower long-trip risk
