feature,importance_mean,importance_std,scoring
trip_distance,0.4470182146140383,0.006660975839377854,roc_auc
pickup_hour,0.016715708675170027,0.00045473584892567797,roc_auc
DOLocationID,0.00859464688860474,0.0007233880602756907,roc_auc
PULocationID,0.007073892341875099,0.001003928136822371,roc_auc
pickup_dayofweek,0.006954913961231801,0.00038494015877870417,roc_auc
airport_trip,0.00010697333472700076,3.4144415611206905e-05,roc_auc
VendorID,3.387098071061523e-05,1.0247337028610629e-05,roc_auc
RatecodeID,2.89405362714934e-05,4.251704109619509e-05,roc_auc
is_weekend,0.0,0.0,roc_auc
passenger_count,-1.1485757883589187e-05,1.1414657952570298e-05,roc_auc
